block_num,timestamp,transactionId,protocol,tvl,usd,period
252898756,1655619001,3800b9cda776bc11fc627b96bacc0f2ccd73d247ffc1d37ec95ac0f89e4688ec,swap.defi,7568849.8686 EOS,6656147.8735 USD,2022-06-19T06:10:00
252899956,1655619601,f002306ca440614afb36a1df97cb251dd9ff8ba97b2184cd16c71c80d9fee615,danchorsmart,3288397.0025 EOS,2891461.2494 USD,2022-06-19T06:20:00
252899956,1655619601,f002306ca440614afb36a1df97cb251dd9ff8ba97b2184cd16c71c80d9fee615,lend.defi,1284556.6712 EOS,1131696.8150 USD,2022-06-19T06:20:00
252899956,1655619601,f002306ca440614afb36a1df97cb251dd9ff8ba97b2184cd16c71c80d9fee615,lend.pizza,492113.7694 EOS,431991.7298 USD,2022-06-19T06:20:00
252899956,1655619601,f002306ca440614afb36a1df97cb251dd9ff8ba97b2184cd16c71c80d9fee615,swap.defi,7570213.0568 EOS,6654045.4164 USD,2022-06-19T06:20:00
252901161,1655620204,ac38bd605313341d5162d427096f832f45ea6289449e5fb52b0f2c6c116ecfba,danchorsmart,3288359.6428 EOS,2892299.2857 USD,2022-06-19T06:30:00
252901161,1655620204,ac38bd605313341d5162d427096f832f45ea6289449e5fb52b0f2c6c116ecfba,lend.defi,1284526.9596 EOS,1131713.2804 USD,2022-06-19T06:30:00
252901161,1655620204,ac38bd605313341d5162d427096f832f45ea6289449e5fb52b0f2c6c116ecfba,lend.pizza,492080.1544 EOS,431995.0704 USD,2022-06-19T06:30:00
252901161,1655620204,ac38bd605313341d5162d427096f832f45ea6289449e5fb52b0f2c6c116ecfba,swap.defi,7570213.0568 EOS,6654045.4164 USD,2022-06-19T06:30:00
252902358,1655620802,2e0cc8a279d2cf4ea7d2b3c01975a047c4a5d836a2d7a45aabd10f83d525c856,danchorsmart,3288352.5002 EOS,2884783.8571 USD,2022-06-19T06:40:00
252902358,1655620802,2e0cc8a279d2cf4ea7d2b3c01975a047c4a5d836a2d7a45aabd10f83d525c856,lend.defi,1284215.8969 EOS,1126910.7471 USD,2022-06-19T06:40:00
252902358,1655620802,2e0cc8a279d2cf4ea7d2b3c01975a047c4a5d836a2d7a45aabd10f83d525c856,lend.pizza,492080.1544 EOS,431995.0704 USD,2022-06-19T06:40:00
252902358,1655620802,2e0cc8a279d2cf4ea7d2b3c01975a047c4a5d836a2d7a45aabd10f83d525c856,swap.defi,7570213.0568 EOS,6654045.4164 USD,2022-06-19T06:40:00
252903554,1655621400,b3e5904225e5e00a322c30d40f82cc152228fdb8ca30c5907fe96c64c47fb8f3,danchorsmart,3288329.4321 EOS,2885308.0013 USD,2022-06-19T06:50:00
252903554,1655621400,b3e5904225e5e00a322c30d40f82cc152228fdb8ca30c5907fe96c64c47fb8f3,lend.defi,1284215.8969 EOS,1126910.7471 USD,2022-06-19T06:50:00
252903554,1655621400,b3e5904225e5e00a322c30d40f82cc152228fdb8ca30c5907fe96c64c47fb8f3,lend.pizza,492113.7694 EOS,431991.7298 USD,2022-06-19T06:50:00
252903554,1655621400,b3e5904225e5e00a322c30d40f82cc152228fdb8ca30c5907fe96c64c47fb8f3,swap.defi,7571153.5977 EOS,6651838.4061 USD,2022-06-19T06:50:00
252904754,1655622000,28ed75b58c06d2a5873d3ce1b344f84796c29270d4d36d86d6527c59f07f9aa2,danchorsmart,3288237.9131 EOS,2895022.2191 USD,2022-06-19T07:00:00
252904754,1655622000,28ed75b58c06d2a5873d3ce1b344f84796c29270d4d36d86d6527c59f07f9aa2,lend.defi,1284197.2392 EOS,1131848.7371 USD,2022-06-19T07:00:00
252904754,1655622000,28ed75b58c06d2a5873d3ce1b344f84796c29270d4d36d86d6527c59f07f9aa2,lend.pizza,492139.8698 EOS,431965.7180 USD,2022-06-19T07:00:00
252904754,1655622000,28ed75b58c06d2a5873d3ce1b344f84796c29270d4d36d86d6527c59f07f9aa2,swap.defi,7571392.5462 EOS,6652051.6871 USD,2022-06-19T07:00:00
252905960,1655622603,835e02712b250fc7b424b3241ad9450d7b93309287dde6bd473a2ee3f4fe33eb,danchorsmart,3288154.4027 EOS,2889182.1851 USD,2022-06-19T07:10:00
252905960,1655622603,835e02712b250fc7b424b3241ad9450d7b93309287dde6bd473a2ee3f4fe33eb,lend.defi,1284237.9437 EOS,1128516.3707 USD,2022-06-19T07:10:00
252905960,1655622603,835e02712b250fc7b424b3241ad9450d7b93309287dde6bd473a2ee3f4fe33eb,lend.pizza,492165.9148 EOS,431956.4004 USD,2022-06-19T07:10:00
252905960,1655622603,835e02712b250fc7b424b3241ad9450d7b93309287dde6bd473a2ee3f4fe33eb,swap.defi,7572041.5578 EOS,6651873.2583 USD,2022-06-19T07:10:00
252907155,1655623201,0f9460485e7feec7b69b3410212afc653f30c2ba3ef8bed50f805bc0e47e3594,danchorsmart,3288139.7016 EOS,2889495.8076 USD,2022-06-19T07:20:00
252907155,1655623201,0f9460485e7feec7b69b3410212afc653f30c2ba3ef8bed50f805bc0e47e3594,lend.defi,1284067.3469 EOS,1123669.1454 USD,2022-06-19T07:20:00
252907155,1655623201,0f9460485e7feec7b69b3410212afc653f30c2ba3ef8bed50f805bc0e47e3594,lend.pizza,492165.9148 EOS,431956.4004 USD,2022-06-19T07:20:00
252907155,1655623201,0f9460485e7feec7b69b3410212afc653f30c2ba3ef8bed50f805bc0e47e3594,swap.defi,7572041.5578 EOS,6651873.2583 USD,2022-06-19T07:20:00
252908355,1655623801,a9cc42e6e48fba68d48ee0766585398bc00e1c048808857797420d269ba52d41,danchorsmart,3288115.8659 EOS,2890019.0726 USD,2022-06-19T07:30:00
252908355,1655623801,a9cc42e6e48fba68d48ee0766585398bc00e1c048808857797420d269ba52d41,lend.defi,1284026.6423 EOS,1127001.5118 USD,2022-06-19T07:30:00
252908355,1655623801,a9cc42e6e48fba68d48ee0766585398bc00e1c048808857797420d269ba52d41,lend.pizza,492139.8698 EOS,431965.7180 USD,2022-06-19T07:30:00
252908355,1655623801,a9cc42e6e48fba68d48ee0766585398bc00e1c048808857797420d269ba52d41,swap.defi,7571461.6422 EOS,6652112.3188 USD,2022-06-19T07:30:00
252909561,1655624404,4aa5806a9b7915163b654499448fe9709b09b2e7caf4acd4bef9e2312fde95e1,danchorsmart,3288115.6817 EOS,2890018.9120 USD,2022-06-19T07:40:00
252909561,1655624404,4aa5806a9b7915163b654499448fe9709b09b2e7caf4acd4bef9e2312fde95e1,lend.defi,1283996.6554 EOS,1126463.3064 USD,2022-06-19T07:40:00
252909561,1655624404,4aa5806a9b7915163b654499448fe9709b09b2e7caf4acd4bef9e2312fde95e1,lend.pizza,492125.8754 EOS,431969.5101 USD,2022-06-19T07:40:00
252909561,1655624404,4aa5806a9b7915163b654499448fe9709b09b2e7caf4acd4bef9e2312fde95e1,swap.defi,7571426.1649 EOS,6652583.1298 USD,2022-06-19T07:40:00
252910751,1655625004,38471d5c924d17f5d84971c034831ac46d9977940dedcb487cf73cdec649cc5b,danchorsmart,3288115.6817 EOS,2890018.9120 USD,2022-06-19T07:50:00
252910751,1655625004,38471d5c924d17f5d84971c034831ac46d9977940dedcb487cf73cdec649cc5b,lend.defi,1283967.1689 EOS,1126479.7958 USD,2022-06-19T07:50:00
252910751,1655625004,38471d5c924d17f5d84971c034831ac46d9977940dedcb487cf73cdec649cc5b,lend.pizza,492125.8754 EOS,431969.5101 USD,2022-06-19T07:50:00
252910751,1655625004,38471d5c924d17f5d84971c034831ac46d9977940dedcb487cf73cdec649cc5b,swap.defi,7571426.1649 EOS,6652583.1298 USD,2022-06-19T07:50:00
252911944,1655625600,91d45245e4d86108da2d74e054fb978594e07b4928df00ff808326c3d39f6c29,danchorsmart,3288083.4804 EOS,2890752.4622 USD,2022-06-19T08:00:00
252911944,1655625600,91d45245e4d86108da2d74e054fb978594e07b4928df00ff808326c3d39f6c29,lend.defi,1283967.1689 EOS,1126479.7958 USD,2022-06-19T08:00:00
252911944,1655625600,91d45245e4d86108da2d74e054fb978594e07b4928df00ff808326c3d39f6c29,lend.pizza,492125.8754 EOS,431969.5101 USD,2022-06-19T08:00:00
